,Title,Author,Publisher,Description,Weeks on List,Date,Main Category,Subcategory
0,FOURTH WING,Rebecca Yarros,Red Tower,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",38,2024-02-04,FICTION,Combined Print & E-Book Fiction
1,IRON FLAME,Rebecca Yarros,Red Tower,The second book in the Empyrean series. Violet Sorrengail’s next round of training might require her to betray the man she loves.,11,2024-02-04,FICTION,Combined Print & E-Book Fiction
2,THE FURY,Alex Michaelides,Celadon,Violence erupts when a former movie star brings a group of her friends to her private Greek island for Easter.,1,2024-02-04,FICTION,Combined Print & E-Book Fiction
3,FIRST LIE WINS,Ashley Elston,Pamela Dorman,A woman who works for a mysterious boss takes on a new identity to dig up information on someone.,3,2024-02-04,FICTION,Combined Print & E-Book Fiction
4,THE HEAVEN & EARTH GROCERY STORE,James McBride,Riverhead,Secrets held by the residents of a dilapidated neighborhood come to life when a skeleton is found at the bottom of a well.,12,2024-02-04,FICTION,Combined Print & E-Book Fiction
5,ICEBREAKER,Hannah Grace,Atria,Anastasia might need the help of the captain of a college hockey team to get on the Olympic figure skating team.,31,2024-02-04,FICTION,Combined Print & E-Book Fiction
6,THE HOUSEMAID,Freida McFadden,Grand Central,Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.,31,2024-02-04,FICTION,Combined Print & E-Book Fiction
7,HOUSE OF EARTH AND BLOOD,Sarah J. Maas,Bloomsbury,Passion arises between Bryce Quinlan and Hunt Athalar as they seek to avenge the deaths of Bryce’s friends.,8,2024-02-04,FICTION,Combined Print & E-Book Fiction
8,A COURT OF SILVER FLAMES,Sarah J. Maas,Bloomsbury,The fifth book in the Court of Thorns and Roses series. Nesta Archeron is forced into close quarters with a warrior named Cassian.,8,2024-02-04,FICTION,Combined Print & E-Book Fiction
9,HOUSE OF SKY AND BREATH,Sarah J. Maas,Bloomsbury,The second book in the Crescent City series. Bryce Quinlan and Hunt Athalar must choose to fight or stay silent.,7,2024-02-04,FICTION,Combined Print & E-Book Fiction
10,IT ENDS WITH US,Colleen Hoover,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.,120,2024-02-04,FICTION,Combined Print & E-Book Fiction
11,"HOLMES, MARPLE & POE",James Patterson and Brian Sitts,"Little, Brown",Three private investigators working in New York City draw the attention of an N.Y.P.D. detective.,2,2024-02-04,FICTION,Combined Print & E-Book Fiction
12,A LITTLE LIFE,Hanya Yanagihara,Anchor,"Four college friends, one with a traumatic past, move to New York seeking fame and fortune.",4,2024-02-04,FICTION,Combined Print & E-Book Fiction
13,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,63,2024-02-04,FICTION,Combined Print & E-Book Fiction
14,MIDNIGHT RUIN,Katee Robert,Sourcebooks Casablanca,The sixth book in the Dark Olympus series. Orpheus wants to get Eurydice back but things are complicated by Charon.,1,2024-02-04,FICTION,Combined Print & E-Book Fiction
0,FOURTH WING,Rebecca Yarros,Red Tower,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",37,2024-02-04,FICTION,Hardcover Fiction
1,IRON FLAME,Rebecca Yarros,Red Tower,The second book in the Empyrean series. Violet Sorrengail’s next round of training might require her to betray the man she loves.,11,2024-02-04,FICTION,Hardcover Fiction
2,THE FURY,Alex Michaelides,Celadon,Violence erupts when a former movie star brings a group of her friends to her private Greek island for Easter.,1,2024-02-04,FICTION,Hardcover Fiction
3,THE HEAVEN & EARTH GROCERY STORE,James McBride,Riverhead,Secrets held by the residents of a dilapidated neighborhood come to life when a skeleton is found at the bottom of a well.,22,2024-02-04,FICTION,Hardcover Fiction
4,FIRST LIE WINS,Ashley Elston,Pamela Dorman,A woman who works for a mysterious boss takes on a new identity to dig up information on someone.,3,2024-02-04,FICTION,Hardcover Fiction
5,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,89,2024-02-04,FICTION,Hardcover Fiction
6,"HOLMES, MARPLE & POE",James Patterson and Brian Sitts,"Little, Brown",Three private investigators working in New York City draw the attention of an N.Y.P.D. detective.,2,2024-02-04,FICTION,Hardcover Fiction
7,REMARKABLY BRIGHT CREATURES,Shelby Van Pelt,Ecco,A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there.,34,2024-02-04,FICTION,Hardcover Fiction
8,EMILY WILDE'S MAP OF THE OTHERLANDS,Heather Fawcett,Del Rey,The second book in the Emily Wilde series. Emily goes with Bambleby to the Austrian Alps to release him from his family’s plans.,1,2024-02-04,FICTION,Hardcover Fiction
9,SANCTUARY OF THE SHADOW,Aurora Ascher,Red Tower,"When Harrow takes an interest in a winged beast new to the area, old enemies turn up to get their revenge on her.",2,2024-02-04,FICTION,Hardcover Fiction
10,THE LITTLE LIAR,Mitch Albom,Harper,"The actions of an 11-year-old boy help facilitate the delivery of Jewish residents, including his family, to Auschwitz.",10,2024-02-04,FICTION,Hardcover Fiction
11,THE EXCHANGE,John Grisham,Doubleday,"In a sequel to “The Firm,” Mitch McDeere, who is now a partner at the world’s largest law firm, gets caught up in a sinister plot.",14,2024-02-04,FICTION,Hardcover Fiction
12,DEMON COPPERHEAD,Barbara Kingsolver,Harper,Winner of a 2023 Pulitzer Prize for fiction. A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,64,2024-02-04,FICTION,Hardcover Fiction
13,THE COVENANT OF WATER,Abraham Verghese,Grove,Three generations of a family living on South India’s Malabar Coast suffer the loss of a family member by drowning.,35,2024-02-04,FICTION,Hardcover Fiction
14,TOM LAKE,Ann Patchett,Harper,"Three daughters, who return to their family orchard in the spring of 2020, learn about their mother’s relationship with a famous actor.",22,2024-02-04,FICTION,Hardcover Fiction
0,ICEBREAKER,Hannah Grace,Atria,Anastasia might need the help of the captain of a college hockey team to get on the Olympic figure skating team.,49,2024-02-04,FICTION,Paperback Trade Fiction
1,THE HOUSEMAID,Freida McFadden,Grand Central,Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.,39,2024-02-04,FICTION,Paperback Trade Fiction
2,A LITTLE LIFE,Hanya Yanagihara,Anchor,"Four college friends, one with a traumatic past, move to New York seeking fame and fortune.",28,2024-02-04,FICTION,Paperback Trade Fiction
3,IT ENDS WITH US,Colleen Hoover,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.,142,2024-02-04,FICTION,Paperback Trade Fiction
4,TWISTED LOVE,Ana Huang,Bloom,The first book in the Twisted series. Secrets emerge when Ava explores things with her brother’s best friend.,32,2024-02-04,FICTION,Paperback Trade Fiction
5,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,124,2024-02-04,FICTION,Paperback Trade Fiction
6,A COURT OF SILVER FLAMES,Sarah J. Maas,Bloomsbury,The fifth book in the Court of Thorns and Roses series. Nesta Archeron is forced into close quarters with a warrior named Cassian.,8,2024-02-04,FICTION,Paperback Trade Fiction
7,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,A movie icon recounts stories of her loves and career to a struggling magazine writer.,150,2024-02-04,FICTION,Paperback Trade Fiction
8,MIDNIGHT RUIN,Katee Robert,Sourcebooks Casablanca,The sixth book in the Dark Olympus series. Orpheus wants to get Eurydice back but things are complicated by Charon.,1,2024-02-04,FICTION,Paperback Trade Fiction
9,HOUSE OF EARTH AND BLOOD,Sarah J. Maas,Bloomsbury,Passion arises between Bryce Quinlan and Hunt Athalar as they seek to avenge the deaths of Bryce’s friends.,12,2024-02-04,FICTION,Paperback Trade Fiction
10,IT STARTS WITH US,Colleen Hoover,Atria,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend.",62,2024-02-04,FICTION,Paperback Trade Fiction
11,ALL GOOD PEOPLE HERE,Ashley Flowers with Alex Kiester,Bantam,A journalist who returns to her hometown vows to find a missing girl and solve a 20-year-old cold case.,3,2024-02-04,FICTION,Paperback Trade Fiction
12,WILDFIRE,Hannah Grace,Atria,The second book in the Maple Hills series. Two summer camp counselors who previously had a one-night stand may run afoul of the camp’s rules.,16,2024-02-04,FICTION,Paperback Trade Fiction
13,VERITY,Colleen Hoover,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,128,2024-02-04,FICTION,Paperback Trade Fiction
14,HOUSE OF SKY AND BREATH,Sarah J. Maas,Bloomsbury,The second book in the Crescent City series. Bryce Quinlan and Hunt Athalar must choose to fight or stay silent.,5,2024-02-04,FICTION,Paperback Trade Fiction
0,KILLERS OF THE FLOWER MOON,David Grann,Doubleday,"The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil.",112,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
1,THE BOYS IN THE BOAT,Daniel James Brown,Penguin,The story of the American rowers who pursued gold at the 1936 Berlin Olympic Games; the basis of the film.,128,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
2,OATH AND HONOR,Liz Cheney,"Little, Brown",The former congresswoman from Wyoming recounts how she helped lead the Select Committee to Investigate the Jan. 6. Attack on the United States Capitol.,7,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
3,THE WAGER,David Grann,Doubleday,The survivors of a shipwrecked British vessel on a secret mission during an imperial war with Spain have different accounts of events.,39,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
4,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",177,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
5,OUTLIVE,Peter Attia with Bill Gifford,Harmony,A look at recent scientific research on aging and longevity.,43,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
6,"THE KINGDOM, THE POWER, AND THE GLORY",Tim Alberta,Harper,The author of “American Carnage” looks at divisions within the American evangelical movement.,4,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
7,THE WOMAN IN ME,Britney Spears,Gallery,"The Grammy Award-winning pop star details her personal and professional experiences, including the years she spent under a conservatorship overseen by her father.",13,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
8,THINK AGAIN,Adam Grant,Viking,An examination of the cognitive skills of rethinking and unlearning that could be used to adapt to a rapidly changing world.,24,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
9,ELON MUSK,Walter Isaacson,Simon & Schuster,"The author of “The Code Breaker” traces Musk’s life and summarizes his work on electric vehicles, private space exploration and artificial intelligence.",19,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
10,MORE,Molly Roden Winter,Doubleday,A couple with small children choose to have an open marriage.,1,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
11,"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Matthew Perry,Flatiron,"The late actor, known for playing Chandler Bing on “Friends,” shares stories from his childhood and his struggles with sobriety.",28,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
12,EVERYTHING I KNOW ABOUT LOVE,Dolly Alderton,Harper Perennial,The British journalist shares stories and observations; the basis of the TV series.,9,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
13,OUR HIDDEN CONVERSATIONS,Michele Norris,Simon & Schuster,"Stories, essays and photographs exploring race and identity in America.",1,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
14,CASTE,Isabel Wilkerson,Random House,The Pulitzer Prize-winning journalist examines aspects of caste systems across civilizations and reveals a rigid hierarchy in America today.,62,2024-02-04,NONFICTION,Combined Print & E-Book Nonfiction
0,OATH AND HONOR,Liz Cheney,"Little, Brown",The former congresswoman from Wyoming recounts how she helped lead the Select Committee to Investigate the Jan. 6. Attack on the United States Capitol.,7,2024-02-04,NONFICTION,Hardcover Nonfiction
1,THE WAGER,David Grann,Doubleday,The survivors of a shipwrecked British vessel on a secret mission during an imperial war with Spain have different accounts of events.,39,2024-02-04,NONFICTION,Hardcover Nonfiction
2,OUTLIVE,Peter Attia with Bill Gifford,Harmony,A look at recent scientific research on aging and longevity.,43,2024-02-04,NONFICTION,Hardcover Nonfiction
3,"THE KINGDOM, THE POWER, AND THE GLORY",Tim Alberta,Harper,The author of “American Carnage” looks at divisions within the American evangelical movement.,5,2024-02-04,NONFICTION,Hardcover Nonfiction
4,THE WOMAN IN ME,Britney Spears,Gallery,"The Grammy Award-winning pop star details her personal and professional experiences, including the years she spent under a conservatorship overseen by her father.",13,2024-02-04,NONFICTION,Hardcover Nonfiction
5,ELON MUSK,Walter Isaacson,Simon & Schuster,"The author of “The Code Breaker” traces Musk’s life and summarizes his work on electric vehicles, private space exploration and artificial intelligence.",19,2024-02-04,NONFICTION,Hardcover Nonfiction
6,"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Matthew Perry,Flatiron,"The late actor, known for playing Chandler Bing on “Friends,” shares stories from his childhood and his struggles with sobriety.",28,2024-02-04,NONFICTION,Hardcover Nonfiction
7,OUR HIDDEN CONVERSATIONS,Michele Norris,Simon & Schuster,"Stories, essays and photographs exploring race and identity in America.",1,2024-02-04,NONFICTION,Hardcover Nonfiction
8,I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,The actress and filmmaker describes her eating disorders and difficult relationship with her mother.,67,2024-02-04,NONFICTION,Hardcover Nonfiction
9,PREQUEL,Rachel Maddow,Crown,The MSNBC host and co-author of “Bag Man” details a campaign to overthrow the U.S. government and install authoritarian rule prior to and during our involvement in World War II.,14,2024-02-04,NONFICTION,Hardcover Nonfiction
10,MORE,Molly Roden Winter,Doubleday,A couple with small children choose to have an open marriage.,1,2024-02-04,NONFICTION,Hardcover Nonfiction
11,"POVERTY, BY AMERICA",Matthew Desmond,Crown,The Pulitzer Prize-winning author of “Evicted” examines the ways in which affluent Americans keep poor people poor.,18,2024-02-04,NONFICTION,Hardcover Nonfiction
12,BEING HENRY,Henry Winkler with James Kaplan,Celadon,The Emmy Award-winning actor shares how playing roles such as the Fonz and his struggles with dyslexia affected his life.,11,2024-02-04,NONFICTION,Hardcover Nonfiction
13,KING: A LIFE,Jonathan Eig,"Farrar, Straus & Giroux","A biography of the civil rights icon Martin Luther King Jr., which includes new archival material and reflections from some who worked, lived and fought with him.",5,2024-02-04,NONFICTION,Hardcover Nonfiction
14,WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,Flatiron,An approach to dealing with trauma that shifts an essential question used to investigate it.,58,2024-02-04,NONFICTION,Hardcover Nonfiction
0,KILLERS OF THE FLOWER MOON,David Grann,Vintage,"The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil. The fledgling F.B.I. intervened, ineffectively.",151,2024-02-04,NONFICTION,Paperback Nonfiction
1,THE BOYS IN THE BOAT,Daniel James Brown,Penguin,The story of the American rowers who pursued gold at the 1936 Berlin Olympic Games; the basis of the film.,150,2024-02-04,NONFICTION,Paperback Nonfiction
2,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",274,2024-02-04,NONFICTION,Paperback Nonfiction
3,THINK AGAIN,Adam Grant,Penguin,An examination of the cognitive skills of rethinking and unlearning that could be used to adapt to a rapidly changing world.,4,2024-02-04,NONFICTION,Paperback Nonfiction
4,EVERYTHING I KNOW ABOUT LOVE,Dolly Alderton,Harper Perennial,The British journalist shares stories and observations; the basis of the TV series.,31,2024-02-04,NONFICTION,Paperback Nonfiction
5,ALL ABOUT LOVE,bell hooks,Morrow,The late feminist icon explores the causes of a polarized society and the meaning of love.,111,2024-02-04,NONFICTION,Paperback Nonfiction
6,BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.,197,2024-02-04,NONFICTION,Paperback Nonfiction
7,MASTER SLAVE HUSBAND WIFE,Ilyon Woo,Simon & Schuster,"In 1848, Ellen Craft, disguised as a disabled white man, and her husband, William, posing as that man’s slave, achieved freedom only to have to flee again.",1,2024-02-04,NONFICTION,Paperback Nonfiction
8,THE HUNDRED YEARS' WAR ON PALESTINE,Rashid Khalidi,Metropolitan,"An account of the history of settler colonialism and resistance, based on untapped archival materials and reports.",16,2024-02-04,NONFICTION,Paperback Nonfiction
9,CASTE,Isabel Wilkerson,Random House,The Pulitzer Prize-winning journalist examines aspects of caste systems across civilizations and reveals a rigid hierarchy in America today.,11,2024-02-04,NONFICTION,Paperback Nonfiction
10,CRYING IN H MART,Michelle Zauner,Vintage,"The daughter of a Korean mother and Jewish American father, and leader of the indie rock project Japanese Breakfast, describes creating her own identity after losing her mother to cancer.",43,2024-02-04,NONFICTION,Paperback Nonfiction
11,AMERICAN PROMETHEUS,Kai Bird and Martin J. Sherwin,Vintage,A biography of J. Robert Oppenheimer. Winner of the Pulitzer Prize in 2006 and an inspiration for the film “Oppenheimer.”,28,2024-02-04,NONFICTION,Paperback Nonfiction
12,THE STORYTELLER,Dave Grohl,Dey Street,A memoir by the musician known for his work with Foo Fighters and Nirvana.,12,2024-02-04,NONFICTION,Paperback Nonfiction
13,EMPIRE OF THE SUMMER MOON,S.C. Gwynne,Scribner,"The story of Quanah Parker, the last chief of the Comanches.",70,2024-02-04,NONFICTION,Paperback Nonfiction
14,"THINKING, FAST AND SLOW",Daniel Kahneman,"Farrar, Straus & Giroux",When we can and cannot trust our intuitions in making business and personal decisions.,390,2024-02-04,NONFICTION,Paperback Nonfiction
0,ATOMIC HABITS,James Clear,Avery,,217,2024-02-04,NONFICTION,"Advice, How-To & Miscellaneous"
1,PRACTICING THE WAY,John Mark Comer,WaterBrook,,1,2024-02-04,NONFICTION,"Advice, How-To & Miscellaneous"
2,COME HUNGRY,Melissa Ben-Ishay,Morrow,,1,2024-02-04,NONFICTION,"Advice, How-To & Miscellaneous"
3,THE CREATIVE ACT,Rick Rubin with Neil Strauss,Penguin Press,,53,2024-02-04,NONFICTION,"Advice, How-To & Miscellaneous"
4,HOW TO KNOW A PERSON,David Brooks,Random House,,13,2024-02-04,NONFICTION,"Advice, How-To & Miscellaneous"
5,BLACK LITURGIES,Cole Arthur Riley,Convergent,,1,2024-02-04,NONFICTION,"Advice, How-To & Miscellaneous"
6,I SURVIVED CAPITALISM AND ALL I GOT WAS THIS LOUSY T-SHIRT,Madeline Pendleton,Doubleday,,1,2024-02-04,NONFICTION,"Advice, How-To & Miscellaneous"
7,THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,Harper,,317,2024-02-04,NONFICTION,"Advice, How-To & Miscellaneous"
8,HIDDEN POTENTIAL,Adam Grant,Viking,,13,2024-02-04,NONFICTION,"Advice, How-To & Miscellaneous"
9,CAN'T HURT ME,David Goggins,Lioncrest,,53,2024-02-04,NONFICTION,"Advice, How-To & Miscellaneous"
0,WONKA,Sibéal Pounder,Viking,"The movie novelization and prequel to ""Charlie and the Chocolate Factory,"" written by Roald Dahl.",5,2024-02-04,CHILDREN,Children’s Middle Grade Hardcover
1,THE SUN AND THE STAR,Rick Riordan and Mark Oshiro,Disney Hyperion,The demigods Will and Nico embark on a dangerous journey to the Underworld to rescue an old friend.,38,2024-02-04,CHILDREN,Children’s Middle Grade Hardcover
2,WONDER,R.J. Palacio,Knopf,A boy with a facial deformity starts school.,427,2024-02-04,CHILDREN,Children’s Middle Grade Hardcover
3,THE MISFITS: A ROYAL CONUNDRUM,Lisa Yee. Illustrated by Dan Santat,Random House,Olive is sent to Reforming Arts School and teams up with a group of crime-fighting outcasts.,2,2024-02-04,CHILDREN,Children’s Middle Grade Hardcover
4,WINGS OF FIRE: A GUIDE TO THE DRAGON WORLD,Tui T. Sutherland. Illustrated by Joy Ang,Scholastic,A deeper dive into the legends of the 10 dragon tribes.,16,2024-02-04,CHILDREN,Children’s Middle Grade Hardcover
5,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,Sourcebooks Jabberwocky,Over 100 kid-tested recipes from America's Test Kitchen.,183,2024-02-04,CHILDREN,Children’s Middle Grade Hardcover
6,REFUGEE,Alan Gratz,Scholastic,Three children in three different conflicts look for safe haven.,248,2024-02-04,CHILDREN,Children’s Middle Grade Hardcover
7,ODDER,Katherine Applegate. Illustrated by Charles Santoso,Feiwel & Friends,"After a shark attack, Odder recuperates at the aquarium with the scientists who raised her.",64,2024-02-04,CHILDREN,Children’s Middle Grade Hardcover
8,DOGTOWN,Katherine Applegate and Gennifer Choldenko. Illustrated by Wallace West,Feiwel & Friends,A three-legged shelter dog named Chance longs to reunite with her family.,14,2024-02-04,CHILDREN,Children’s Middle Grade Hardcover
9,THE OFFICIAL HARRY POTTER COOKBOOK,Joanna Farrow,Scholastic,Forty plus recipes inspired by the films.,18,2024-02-04,CHILDREN,Children’s Middle Grade Hardcover
0,LITTLE BLUE TRUCK'S VALENTINE,Alice Schertle. Illustrated by Jill McElmurry,Clarion,Little Blue Truck delivers Valentine's Day cards to all his farm animal friends.,24,2024-02-04,CHILDREN,Children’s Picture Books
1,LOVE FROM BLUEY,Suzy Brumm,Penguin,The love between parents and their children.,4,2024-02-04,CHILDREN,Children’s Picture Books
2,LOVE FROM THE VERY HUNGRY CATERPILLAR,Eric Carle,Grosset & Dunlap,A ravenous insect returns with its appetite intact.,52,2024-02-04,CHILDREN,Children’s Picture Books
3,JUST ONE MORE SLEEP,Jamie Lee Curtis. Illustrated by Laura Cornell,Philomel,A young girl patiently waits a year until her next birthday.,1,2024-02-04,CHILDREN,Children’s Picture Books
4,HOW TO CATCH A LOVEOSAURUS,Alice Walstead. Illustrated by Andy Elkerton,Sourcebooks Wonderland,The Catch Club Kids attempt to catch a dinosaur that wants to spread love and kindness.,9,2024-02-04,CHILDREN,Children’s Picture Books
5,CUPIG,Claire Tattersfield. Illustrated by Rob Sayegh Jr.,Flamingo,"After the bad weather throws off her aim, Cupig straightens things out when the skies clear.",3,2024-02-04,CHILDREN,Children’s Picture Books
6,GRUMPY MONKEY VALENTINE GROSS-OUT,Suzanne Lang. Illustrated by Max Lang,Random House Studio,"Jim Panzee believes that Valentine's Day is gross, especially kissing!",10,2024-02-04,CHILDREN,Children’s Picture Books
7,THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,Random House,A celebration of future possibilities.,377,2024-02-04,CHILDREN,Children’s Picture Books
8,JUST BECAUSE,Matthew McConaughey. Illustrated by Renée Kurilla,Viking,Wisdom about life’s contradictions.,19,2024-02-04,CHILDREN,Children’s Picture Books
9,IN MY HEART,Jo Witek. Illustrated by Christine Roussey,Abrams Appleseed,An exploration of feelings.,16,2024-02-04,CHILDREN,Children’s Picture Books
0,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,A boy battles mythological monsters.,708,2024-02-04,CHILDREN,Children’s Series
1,DIARY OF A WIMPY KID,tten and illustrated by Jeff Kinney,Amulet,The travails and challenges of adolescence.,775,2024-02-04,CHILDREN,Children’s Series
2,THE HUNGER GAMES,Suzanne Collins,Scholastic,"In a dystopia, a girl fights for survival on live TV.",311,2024-02-04,CHILDREN,Children’s Series
3,A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,Delacorte,Pippa Fitz-Amobi solves murderous crimes.,121,2024-02-04,CHILDREN,Children’s Series
4,HARRY POTTER,J.K. Rowling,Scholastic,A wizard hones his conjuring skills in the service of fighting evil.,774,2024-02-04,CHILDREN,Children’s Series
5,THE SUMMER I TURNED PRETTY TRILOGY,Jenny Han,Simon & Schuster,"A beach house, summer love and enduring friendships.",92,2024-02-04,CHILDREN,Children’s Series
6,THE INHERITANCE GAMES,Jennifer Lynn Barnes,"Little, Brown",Avery Grambs tries to figure out why an inheritance from a stranger was bestowed upon her.,72,2024-02-04,CHILDREN,Children’s Series
7,WHO WAS/IS . . . ?,Jim Gigliotti and others; various illustrators,Penguin Workshop,Biographies unlock legendary lives.,143,2024-02-04,CHILDREN,Children’s Series
8,FOLK OF THE AIR,Holly Black,"Little, Brown",Jude’s quest to become the first mortal queen of the High Court of Faerie.,37,2024-02-04,CHILDREN,Children’s Series
9,CARAVAL,Stephanie Garber,Flatiron,Scarlett must find her sister Tella before the five nights of Caraval are over or lose her forever.,6,2024-02-04,CHILDREN,Children’s Series
0,DIVINE RIVALS,Rebecca Ross,Wednesday,Two young rival journalists find love through a magical connection.,31,2024-02-04,CHILDREN,Young Adult Hardcover
1,RUTHLESS VOWS,Rebecca Ross,Wednesday,"In the sequel to ""Divine Rivals,"" Roman and Iris will risk their hearts and futures to change the tides of the war.",4,2024-02-04,CHILDREN,Young Adult Hardcover
2,POWERLESS,Lauren Roberts,Simon & Schuster,"Forbidden love is in the air when Paedyn, an Ordinary, and Kai, an Elite, become romantically involved.",11,2024-02-04,CHILDREN,Young Adult Hardcover
3,MURTAGH,Christopher Paolini,Knopf,"Murtagh and his dragon, Thorn, must find and outwit a mysterious witch.",11,2024-02-04,CHILDREN,Young Adult Hardcover
4,NIGHTBANE,Alex Aster,Amulet,"In this sequel to ""Lightlark,"" Isla must chose between her two powerful lovers.",11,2024-02-04,CHILDREN,Young Adult Hardcover
5,A FRAGILE ENCHANTMENT,Allison Saft,Wednesday,Niamh is hired to serve as the tailor for a royal wedding and finds herself attracted to the groom.,3,2024-02-04,CHILDREN,Young Adult Hardcover
6,THE WAY I AM NOW,Amber Smith,Margaret K. McElderry,Eden and Josh decide to give their relationship another chance despite the emotional baggage they both carry.,11,2024-02-04,CHILDREN,Young Adult Hardcover
7,FIVE SURVIVE,Holly Jackson,Delacorte,Six friends on a spring break road trip in an R.V. are the target of a sniper.,57,2024-02-04,CHILDREN,Young Adult Hardcover
8,MOST ARDENTLY,Gabe Cole Novoa,Feiwel & Friends,"A trans boy desires to be himself in this retelling of ""Pride and Prejudice.""",1,2024-02-04,CHILDREN,Young Adult Hardcover
9,BETTING ON YOU,Lynn Painter,Simon & Schuster,"Charlie and Bailey place bets on the love lives of others, while fighting the feelings they have for each other.",8,2024-02-04,CHILDREN,Young Adult Hardcover
0,FOURTH WING,Rebecca Yarros,Red Tower,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",37,2024-01-28,FICTION,Combined Print & E-Book Fiction
1,IRON FLAME,Rebecca Yarros,Red Tower,The second book in the Empyrean series. Violet Sorrengail’s next round of training might require her to betray the man she loves.,10,2024-01-28,FICTION,Combined Print & E-Book Fiction
2,THE HEAVEN & EARTH GROCERY STORE,James McBride,Riverhead,Secrets held by the residents of a dilapidated neighborhood come to life when a skeleton is found at the bottom of a well.,11,2024-01-28,FICTION,Combined Print & E-Book Fiction
3,"HOLMES, MARPLE & POE",James Patterson and Brian Sitts,"Little, Brown",Three private investigators working in New York City draw the attention of an N.Y.P.D. detective.,1,2024-01-28,FICTION,Combined Print & E-Book Fiction
4,FIRST LIE WINS,Ashley Elston,Pamela Dorman,A woman who works for a mysterious boss takes on a new identity to dig up information on someone.,2,2024-01-28,FICTION,Combined Print & E-Book Fiction
5,ICEBREAKER,Hannah Grace,Atria,Anastasia might need the help of the captain of a college hockey team to get on the Olympic figure skating team.,30,2024-01-28,FICTION,Combined Print & E-Book Fiction
6,THE HOUSEMAID,Freida McFadden,Grand Central,Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.,30,2024-01-28,FICTION,Combined Print & E-Book Fiction
7,SANCTUARY OF THE SHADOW,Aurora Ascher,Red Tower,"When Harrow takes an interest in a winged beast new to the area, old enemies turn up to get their revenge on her.",1,2024-01-28,FICTION,Combined Print & E-Book Fiction
