,FullName,URL
45,Martha Hall Kelly,https://www.goodreads.com/book/show/25893693-lilac-girls?from_search=true&from_srp=true&qid=5d0DuBIix7&rank=1
46,Lisa Damour,https://www.goodreads.com/book/show/261905.Girls_Under_Pressure?from_search=true&from_srp=true&qid=Dh6WqlZeEB&rank=1
47,Nancy Allen,https://www.goodreads.com/book/show/41090677-juror-3?from_search=true&from_srp=true&qid=EOpth0YXhm&rank=1
48,Kevin Kwan,https://www.goodreads.com/book/show/16085481-crazy-rich-asians?from_search=true&from_srp=true&qid=JThVqSduPu&rank=1
49,Meghan March,https://www.goodreads.com/book/show/59346158-luck-of-the-devil?from_search=true&from_srp=true&qid=bDoo1ikisv&rank=1
50,Mark Greaney,https://www.goodreads.com/book/show/40202025-mission-critical?from_search=true&from_srp=true&qid=Bv0XPHcYA9&rank=1
51,Lisa Kleypas,https://www.goodreads.com/book/show/40404706-devil-s-daughter?from_search=true&from_srp=true&qid=zO2SCvkEOg&rank=1
52,Elle Kennedy,https://www.goodreads.com/book/show/33131867-the-risk?from_search=true&from_srp=true&qid=5SP0MOT5x1&rank=1
53,Max DiLallo,https://www.goodreads.com/book/show/13129810-the-4-hour-chef?from_search=true&from_srp=true&qid=yw46eQCEHS&rank=1
54,Don Winslow,https://www.goodreads.com/book/show/469571.All_the_Pretty_Horses?from_search=true&from_srp=true&qid=4KndZlSM0u&rank=1
55,Faith Hunter,https://www.goodreads.com/book/show/40265759-circle-of-the-moon?from_search=true&from_srp=true&qid=06UdV4omwS&rank=1
56,Penelope Ward,https://www.goodreads.com/book/show/43427544-when-august-ends?from_search=true&from_srp=true&qid=NopcAVLF6Z&rank=1
57,Susan Mallery,https://www.goodreads.com/book/show/39752830-california-girls?from_search=true&from_srp=true&qid=M0tIwCikBY&rank=1
58,Lisa Jackson,https://www.goodreads.com/book/show/200883.Backlash?from_search=true&from_srp=true&qid=xBc51xiD5D&rank=1
59,Joanne Fluke,https://www.goodreads.com/book/show/40385223-chocolate-cream-pie-murder?from_search=true&from_srp=true&qid=z0A2xajhxY&rank=1
60,Samantha Shannon,https://www.goodreads.com/book/show/40275288-the-priory-of-the-orange-tree?from_search=true&from_srp=true&qid=Kv4MikjxAV&rank=1
61,Daniel Silva,https://www.goodreads.com/book/show/36212848-the-other-woman?from_search=true&from_srp=true&qid=JQFlvRkKdJ&rank=1
62,Ariel Lawhon,https://www.goodreads.com/book/show/33989585-i-was-anastasia?from_search=true&from_srp=true&qid=RsB6WHV8Gk&rank=1
63,Kate Quinn,https://www.goodreads.com/book/show/1421990.Halfway_to_the_Grave?from_search=true&from_srp=true&qid=yaxmow3HaI&rank=1
64,Taylor Jenkins Reid,https://www.goodreads.com/book/show/40597810-daisy-jones-the-six?from_search=true&from_srp=true&qid=KFRZFJZyDC&rank=1
65,Lisa See,https://www.goodreads.com/book/show/40538657-the-island-of-sea-women?from_search=true&from_srp=true&qid=Ac9cWFeSN9&rank=1
66,A.J. Finn,https://www.goodreads.com/book/show/40389527-the-woman-in-the-window?from_search=true&from_srp=true&qid=CowVpF0DUt&rank=1
67,Steve Berry,https://www.goodreads.com/book/show/39863443-the-malta-exchange?from_search=true&from_srp=true&qid=q5Kz3BwhSO&rank=1
